feat_w_vel_mean,feat_w_vel_std,feat_curr_mean,feat_curr_std,feat_acc_x_mean,feat_acc_x_std,feat_acc_y_mean,feat_acc_y_std,feat_acc_z_mean,feat_acc_z_std,feat_pitch_mean,feat_roll_mean,total_dist_actual,total_dist_cmd,slip_percentage,slip_class,n_samples,win_duration_s
0.6741259489542845,0.19371436559473207,51.25527960442482,13.71253558284512,-0.09886741543069799,0.43065160892687204,0.00037165550128655863,0.2161332004926501,-0.0019942103151945356,0.23161475383602562,-0.03768238714096874,-0.025784799029851545,0.1693655576022054,0.20221168841071935,16.243438283250477,0,47,1.84
0.741092332145747,0.07083468117080187,51.95907175774668,11.337171879509931,-0.059155296651285834,0.3549453353055849,0.008997251017146981,0.2309696716577092,0.003644661293091143,0.29276115854308327,-0.02246575142367343,-0.022621501901317388,0.21290423855537632,0.2504504831581832,14.99148419653591,0,51,2.0
0.7469892139528312,0.09411223888890971,54.451088704314884,12.582248231480563,0.029457911330288935,0.25251253899309545,-0.005579908074829362,0.22357893018435204,-0.011482955239640148,0.30861665240453984,-0.0037287793140356406,-0.019387440275940464,0.21053789040789586,0.25213980245321443,16.49954177823153,0,51,2.0
0.7275380692270119,0.10893467059666868,56.052320952415464,12.405179262511185,-0.004047219723579474,0.255944093045962,0.0016494108201004565,0.25415341612145925,-0.01925280872732401,0.3171063615336686,0.018103538476088633,-0.019768541513087434,0.20191250401853322,0.23819648298764112,15.232793748256345,0,50,1.96
0.7309697280813684,0.11835348620548643,58.04800966323591,12.244425341456015,0.009475344681870375,0.19205606311669796,-0.010346252105984033,0.25202917044112655,-0.017223201783410476,0.3072542104557268,0.04118614705689267,-0.023675383609122747,0.20748786402364777,0.24292203359433473,14.586642902002012,0,51,2.0
0.7229440028735838,0.11133152738658086,58.96725868302233,12.389020541097295,-0.006250573826643328,0.23386173126485243,0.004726522328222499,0.2621761798030531,0.0032281643144932448,0.34764319879292344,0.06250123950365125,-0.027082840056573715,0.2136175846852005,0.23976003174581245,10.903588421412758,0,51,2.0
0.7047713346809021,0.09583839545025905,56.760554885163025,12.993608283468431,0.005056518702950401,0.23398630367148843,0.006216754826406638,0.24213534769252454,0.001731117548165368,0.3149092201938632,0.0786726894305683,-0.02721829587053742,0.2188461278952818,0.23267930184562033,5.9451673787110915,0,51,2.0
0.7414552794641578,0.14270841941679693,56.06448016564051,12.082275391882842,0.04674990605973803,0.2722565550903008,0.00448224239288738,0.2297442106352453,0.011280265828484999,0.36423139257110093,0.09257419184721667,-0.026321181334590802,0.2023325010032861,0.24426767836411706,17.167714386804956,0,51,2.0
0.7473621978972327,0.1969635535887582,56.70307437578837,11.96255286480743,0.03160811970284318,0.2752165978249142,-0.010207635638139704,0.20616453309052726,0.009524913806029978,0.32727112369610134,0.10350784746658605,-0.02574791849038669,0.184885926651894,0.23664930689741348,21.87345525079383,0,51,2.0
0.7642069044705554,0.22787063479861516,59.5055953328516,12.190093585057388,0.040632800495836376,0.2770693500034453,-0.003854468574418741,0.22568320848414938,0.006747481634602973,0.3060189975098942,0.11221531875041008,-0.024433805331237884,0.1647292531015268,0.23841377483161344,30.906151199580833,1,51,2.0
0.7802558670313481,0.24356351967878442,63.097441538876176,11.263342834623934,0.004304016917469162,0.33671018534743086,0.009785855672888312,0.2865366654071208,0.02217264045440756,0.3818776071893919,0.11853696004021542,-0.02203360443654849,0.15048544362701197,0.23693182827088471,36.48576270851985,1,51,2.0
0.7504783676042422,0.22798380767310492,62.8522021688667,12.660195054936077,-0.02523730359241074,0.31328023067965877,0.012068844806658579,0.3259019502992636,0.02415860595190715,0.34732103984039436,0.12320168884998743,-0.018950181187977127,0.15280742496315666,0.22338277978162668,31.59391018746507,1,51,2.0
0.7282580913126688,0.17532261376575486,63.66667767365774,11.850107890776606,-0.022992067618806865,0.3147835130002172,0.01175102184745757,0.31042092513018504,0.005614658025568169,0.35811125299430535,0.1286715410941336,-0.015446493431786515,0.1536283073472306,0.2273164693278681,32.416552218376204,1,51,2.0
0.7189310657307871,0.15266259058118226,64.01325907660465,12.252210868374567,-0.015066825707132617,0.33215963681093186,0.014491967290785968,0.2997738994103672,0.00238752087541655,0.39886886223506235,0.13245846348272589,-0.011480350365264977,0.15942961203898923,0.22604212565033893,29.46907060783509,0,51,2.0
0.7680237041649354,0.19873277211273283,61.95323554207297,13.386268759667994,0.006036828514005916,0.275654039508006,-0.02183559244297737,0.4065226060418654,-0.011803278955174428,0.3649093396108924,0.13589261825834567,-0.006908759709697822,0.15793529045865545,0.23566619489252205,32.98347667951127,1,51,2.0
0.7748372431196199,0.18826552587290218,61.31234486897787,13.52292949266044,0.009981934837175204,0.27138681437157985,-0.02333360548386825,0.3763185368939954,-0.011216548618440535,0.36201237995075136,0.1388106163223065,-0.0018895766860614496,0.1548825888587598,0.24501710271093508,36.78702949912589,1,51,2.0
0.7739162709673538,0.1983862903584286,60.59117408359752,13.935023147457889,0.0250848854923913,0.2305755958867299,-0.018427372595076177,0.37171991399873344,0.0009268687983207843,0.3627452295832473,0.14046030572889498,0.0029909243644846615,0.14817881335500518,0.24584482064465363,39.726688987609705,1,51,2.0
0.7635055820402854,0.15543413511167023,59.967672598128225,13.432674289051413,0.008085340204393016,0.21284932763639747,-0.03800621554346792,0.33667642497847755,0.007360183825606809,0.3354664984914637,0.1431178554915957,0.006878270523600951,0.13579961159231993,0.2514308841084303,45.98928764305822,1,51,2.0
0.7409627394495057,0.12005644860842594,60.65354522303039,12.176778052132692,0.004625785385952422,0.21599953502025537,0.006600625685178766,0.1815086306800827,0.005590900459198975,0.3076204348587802,0.1454054430169244,0.00908370590106153,0.12855463849541807,0.2449971865625595,47.52811642488314,1,51,2.0
0.7572880219850763,0.12868720040585074,60.48556003149818,11.965501444513583,0.009251621592899455,0.2455238857525483,0.0068002388054760644,0.2332177843246393,0.01592534503844731,0.32986836647878254,0.14698782037257319,0.010272815546618137,0.12302812926964968,0.2505416265791122,50.895134293860856,1,51,2.0
0.75334731319134,0.11824551754024537,61.54379325754502,10.770592737738676,0.011319300840042677,0.23289676910554488,-0.0016259372133907734,0.21548479011575367,-0.009510149270770889,0.29159752617510276,0.1494728919377986,0.010711065705555165,0.11956146416390662,0.24989775006563428,52.15584608804823,1,51,2.0
