feat_w_vel_mean,feat_w_vel_std,feat_curr_mean,feat_curr_std,feat_acc_x_mean,feat_acc_x_std,feat_acc_y_mean,feat_acc_y_std,feat_acc_z_mean,feat_acc_z_std,feat_pitch_mean,feat_roll_mean,total_dist_actual,total_dist_cmd,slip_percentage,slip_class,n_samples,win_duration_s
2.003393928817612,0.3839373400395628,16.428133835183814,28.95774786040346,-0.028949799531317773,1.031341639331814,0.03384777491397046,1.7454134377774615,0.1496196008743124,6.083903313357972,0.0806969960218764,0.21012929349837878,0.4334502038345421,0.3114869009404434,-39.155194817459815,1,47,1.84
2.006785390862063,0.3113019397513511,23.30823498613694,32.5254093282392,0.006573125646979201,0.9601391549953504,0.0817636046923843,1.7023245640083493,0.06164228916168213,5.598929088307881,0.04905665665107646,0.21180772375983836,0.469542107894021,0.33054499570364604,-42.05088989306449,1,51,2.0
1.983057109602526,0.2940580480475553,33.60337264865053,33.89747300290853,0.09154574967482511,0.8224806536916497,-0.058569147671554606,1.449635867558403,0.05689974377552668,5.123679024659825,0.037036249714633894,0.2231964619661749,0.4838187524309747,0.3279277505884698,-47.53821583039461,1,51,2.0
1.8854076361247138,0.26559409892192076,43.22733148406534,31.33728918680899,0.03004074315814411,0.8094874905756806,0.027653063410053066,1.4417931112669398,-0.155988551968453,4.351789490917942,0.03977876691113002,0.24308319769911058,0.4547714682690075,0.3324579865615064,-36.7906582640849,1,51,2.0
1.806312210273509,0.2618586563735961,51.096922159194946,26.278222547231977,0.0890617402014779,0.4697963671626336,-0.0915676228994248,1.010394228977089,-0.6343331560492516,2.4063864365962195,0.03327383322598047,0.2677344315374482,0.430131907211531,0.3359150637335797,-28.047817335359614,0,51,2.0
1.773052483946085,0.2855116321426778,58.64361825466156,21.815164734056467,0.024190529584884643,0.4465481101432485,-0.0971406253427267,0.5998070665580544,-0.39626730550080536,2.0799972886202465,0.025028365637152623,0.2796796047169125,0.4166721099571988,0.3337784259830619,-24.834943639629792,0,50,1.96
1.743300934433937,0.3134029949334552,59.01012180805206,24.123218082333516,0.0024159882217645646,0.4420550077365964,-0.06859237030148506,0.6449075490465639,-0.3257485628500581,2.6501886099230805,-0.01064451154860448,0.2816302506502381,0.4025736282798172,0.32699042966872965,-23.114804518181174,0,50,1.96
1.6511433694292517,0.3645998451138247,64.14512826882157,22.121525042094692,-0.01069529960845031,0.48510121887133123,0.00026908838281444476,0.6383985779334149,0.07114537524095937,2.5135934070129045,-0.0614179339556297,0.2875514382267108,0.39949788235772654,0.31744974499378215,-25.84602402674838,0,51,2.0
1.5525843975882905,0.3483032734308654,67.6459672497768,19.862814055016468,0.008132346850984237,0.44928909823917107,0.05789346583918029,0.47818229524455663,0.017888002371525064,2.181876811897074,-0.11195266074221544,0.28477949023157195,0.39400933720618003,0.2972376248659392,-32.557019786403906,1,51,2.0
1.4718254169120508,0.297479152361355,67.28534346935795,18.85494767122835,0.03398846119057899,0.4114199317382676,0.02733795688140626,0.47853993386791926,-0.03662976891021518,2.02559872730713,-0.14422109374244124,0.2728863311338586,0.39831547008212576,0.28219134604041285,-41.15084522297246,1,51,2.0
